energy_width,exact_no_truncation,detected_bin,matches_reference_bin,best_energy_at_detected_bin,reference_bin_truncated_energy,reference_best_energy_error,max_reference_energy_bits
145,1,3,1,2926974856033640715,2926974856033640715,0,62
146,1,3,1,2926974856033640715,2926974856033640715,0,62
147,1,3,1,2926974856033640715,2926974856033640715,0,62
148,1,3,1,2926974856033640715,2926974856033640715,0,62
149,1,3,1,2926974856033640715,2926974856033640715,0,62
150,1,3,1,2926974856033640715,2926974856033640715,0,62
151,1,3,1,2926974856033640715,2926974856033640715,0,62
152,1,3,1,2926974856033640715,2926974856033640715,0,62
153,1,3,1,2926974856033640715,2926974856033640715,0,62
154,1,3,1,2926974856033640715,2926974856033640715,0,62
155,1,3,1,2926974856033640715,2926974856033640715,0,62
156,1,3,1,2926974856033640715,2926974856033640715,0,62
157,1,3,1,2926974856033640715,2926974856033640715,0,62
158,1,3,1,2926974856033640715,2926974856033640715,0,62
159,1,3,1,2926974856033640715,2926974856033640715,0,62
160,1,3,1,2926974856033640715,2926974856033640715,0,62
161,1,3,1,2926974856033640715,2926974856033640715,0,62
162,1,3,1,2926974856033640715,2926974856033640715,0,62
163,1,3,1,2926974856033640715,2926974856033640715,0,62
164,1,3,1,2926974856033640715,2926974856033640715,0,62
165,1,3,1,2926974856033640715,2926974856033640715,0,62
166,1,3,1,2926974856033640715,2926974856033640715,0,62
167,1,3,1,2926974856033640715,2926974856033640715,0,62
168,1,3,1,2926974856033640715,2926974856033640715,0,62
169,1,3,1,2926974856033640715,2926974856033640715,0,62
170,1,3,1,2926974856033640715,2926974856033640715,0,62
171,1,3,1,2926974856033640715,2926974856033640715,0,62
172,1,3,1,2926974856033640715,2926974856033640715,0,62
173,1,3,1,2926974856033640715,2926974856033640715,0,62
174,1,3,1,2926974856033640715,2926974856033640715,0,62
175,1,3,1,2926974856033640715,2926974856033640715,0,62
176,1,3,1,2926974856033640715,2926974856033640715,0,62
177,1,3,1,2926974856033640715,2926974856033640715,0,62
178,1,3,1,2926974856033640715,2926974856033640715,0,62
179,1,3,1,2926974856033640715,2926974856033640715,0,62
180,1,3,1,2926974856033640715,2926974856033640715,0,62
181,1,3,1,2926974856033640715,2926974856033640715,0,62
182,1,3,1,2926974856033640715,2926974856033640715,0,62
183,1,3,1,2926974856033640715,2926974856033640715,0,62
184,1,3,1,2926974856033640715,2926974856033640715,0,62
185,1,3,1,2926974856033640715,2926974856033640715,0,62
186,1,3,1,2926974856033640715,2926974856033640715,0,62
187,1,3,1,2926974856033640715,2926974856033640715,0,62
188,1,3,1,2926974856033640715,2926974856033640715,0,62
189,1,3,1,2926974856033640715,2926974856033640715,0,62
190,1,3,1,2926974856033640715,2926974856033640715,0,62
191,1,3,1,2926974856033640715,2926974856033640715,0,62
192,1,3,1,2926974856033640715,2926974856033640715,0,62
193,1,3,1,2926974856033640715,2926974856033640715,0,62
194,1,3,1,2926974856033640715,2926974856033640715,0,62
195,1,3,1,2926974856033640715,2926974856033640715,0,62
196,1,3,1,2926974856033640715,2926974856033640715,0,62
197,1,3,1,2926974856033640715,2926974856033640715,0,62
198,1,3,1,2926974856033640715,2926974856033640715,0,62
199,1,3,1,2926974856033640715,2926974856033640715,0,62
200,1,3,1,2926974856033640715,2926974856033640715,0,62
201,1,3,1,2926974856033640715,2926974856033640715,0,62
202,1,3,1,2926974856033640715,2926974856033640715,0,62
203,1,3,1,2926974856033640715,2926974856033640715,0,62
204,1,3,1,2926974856033640715,2926974856033640715,0,62
205,1,3,1,2926974856033640715,2926974856033640715,0,62
206,1,3,1,2926974856033640715,2926974856033640715,0,62
207,1,3,1,2926974856033640715,2926974856033640715,0,62
208,1,3,1,2926974856033640715,2926974856033640715,0,62
209,1,3,1,2926974856033640715,2926974856033640715,0,62
210,1,3,1,2926974856033640715,2926974856033640715,0,62
211,1,3,1,2926974856033640715,2926974856033640715,0,62
212,1,3,1,2926974856033640715,2926974856033640715,0,62
213,1,3,1,2926974856033640715,2926974856033640715,0,62
214,1,3,1,2926974856033640715,2926974856033640715,0,62
215,1,3,1,2926974856033640715,2926974856033640715,0,62
216,1,3,1,2926974856033640715,2926974856033640715,0,62
217,1,3,1,2926974856033640715,2926974856033640715,0,62
218,1,3,1,2926974856033640715,2926974856033640715,0,62
219,1,3,1,2926974856033640715,2926974856033640715,0,62
220,1,3,1,2926974856033640715,2926974856033640715,0,62
221,1,3,1,2926974856033640715,2926974856033640715,0,62
222,1,3,1,2926974856033640715,2926974856033640715,0,62
223,1,3,1,2926974856033640715,2926974856033640715,0,62
224,1,3,1,2926974856033640715,2926974856033640715,0,62
225,1,3,1,2926974856033640715,2926974856033640715,0,62
226,1,3,1,2926974856033640715,2926974856033640715,0,62
227,1,3,1,2926974856033640715,2926974856033640715,0,62
228,1,3,1,2926974856033640715,2926974856033640715,0,62
229,1,3,1,2926974856033640715,2926974856033640715,0,62
230,1,3,1,2926974856033640715,2926974856033640715,0,62
231,1,3,1,2926974856033640715,2926974856033640715,0,62
232,1,3,1,2926974856033640715,2926974856033640715,0,62
233,1,3,1,2926974856033640715,2926974856033640715,0,62
234,1,3,1,2926974856033640715,2926974856033640715,0,62
235,1,3,1,2926974856033640715,2926974856033640715,0,62
236,1,3,1,2926974856033640715,2926974856033640715,0,62
237,1,3,1,2926974856033640715,2926974856033640715,0,62
