design,period_ns,frequency_mhz,derived_wns_ns,pass,derived_min_period_ns,derived_fmax_mhz,base_clock_period_ns,base_wns_ns,data_path_delay_ns,logic_levels,startpoint,endpoint
pipelined_plus5,10.000,100.000,1.854,PASS,8.146,122.760,10.000,1.854,7.697,18,u_impl/u_accumulator/bin_energy_reg[2]/C,u_impl/u_tracker/best_energy_reg[2]_lopt_replica/CE
pipelined_plus5,9.500,105.263,1.354,PASS,8.146,122.760,10.000,1.854,7.697,18,u_impl/u_accumulator/bin_energy_reg[2]/C,u_impl/u_tracker/best_energy_reg[2]_lopt_replica/CE
pipelined_plus5,9.000,111.111,0.854,PASS,8.146,122.760,10.000,1.854,7.697,18,u_impl/u_accumulator/bin_energy_reg[2]/C,u_impl/u_tracker/best_energy_reg[2]_lopt_replica/CE
pipelined_plus5,8.500,117.647,0.354,PASS,8.146,122.760,10.000,1.854,7.697,18,u_impl/u_accumulator/bin_energy_reg[2]/C,u_impl/u_tracker/best_energy_reg[2]_lopt_replica/CE
pipelined_plus5,8.000,125.000,-0.146,FAIL,8.146,122.760,10.000,1.854,7.697,18,u_impl/u_accumulator/bin_energy_reg[2]/C,u_impl/u_tracker/best_energy_reg[2]_lopt_replica/CE
pipelined_plus5,7.500,133.333,-0.646,FAIL,8.146,122.760,10.000,1.854,7.697,18,u_impl/u_accumulator/bin_energy_reg[2]/C,u_impl/u_tracker/best_energy_reg[2]_lopt_replica/CE
pipelined_plus5_tracker,25.000,40.000,16.676,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,20.000,50.000,11.676,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,15.000,66.667,6.676,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,12.500,80.000,4.176,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,11.000,90.909,2.676,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,10.000,100.000,1.676,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,9.500,105.263,1.176,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,9.000,111.111,0.676,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,8.500,117.647,0.176,PASS,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,8.000,125.000,-0.324,FAIL,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_tracker,7.500,133.333,-0.824,FAIL,8.324,120.135,10.000,1.676,8.333,19,u_impl/u_fir_i/sum0123_reg[0]/C,u_impl/u_fir_i/sample_out_reg[47]/D
pipelined_plus5_firout,25.000,40.000,17.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,20.000,50.000,12.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,15.000,66.667,7.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,12.500,80.000,4.502,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,11.000,90.909,3.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,10.000,100.000,2.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,9.500,105.263,1.502,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,9.000,111.111,1.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,8.500,117.647,0.502,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,8.000,125.000,0.002,PASS,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout,7.500,133.333,-0.498,FAIL,7.998,125.031,10.000,2.002,7.648,16,u_impl/u_accumulator/bin_energy_reg[16]/C,u_impl/gen_regular_tracker.u_tracker/best_energy_reg[112]_lopt_replica/CE
pipelined_plus5_firout_tracker,25.000,40.000,16.675,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,20.000,50.000,11.675,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,15.000,66.667,6.675,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,12.500,80.000,4.175,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,11.000,90.909,2.675,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
pipelined_plus5_firout_tracker,10.000,100.000,1.675,PASS,8.325,120.120,10.000,1.675,7.813,1,u_impl/u_mag/valid_out_reg/C,u_impl/u_accumulator/running_energy_reg[124]/R
