rank,slack_ns,requirement_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,region,startpoint,endpoint
1,2.144,10.000,7.662,5.724,1.938,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[12]/D"
2,2.312,10.000,7.489,5.724,1.765,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[6]/D"
3,2.425,10.000,7.385,5.724,1.661,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[0]/D"
4,2.429,10.000,7.374,5.724,1.650,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg[1]/D"
5,2.550,10.000,7.553,3.817,3.736,16,FIR,"u_impl/gen_fir_outreg_fanout.u_fir_q/final_sum_reg_reg[0]/C","u_impl/gen_fir_outreg_fanout.u_fir_q/sample_out_reg[47]/D"
6,2.555,10.000,7.548,3.779,3.769,15,FIR,"u_impl/gen_fir_outreg_fanout.u_fir_q/final_sum_reg_reg[0]/C","u_impl/gen_fir_outreg_fanout.u_fir_q/sample_out_reg[44]/D"
7,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[0]"
8,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[10]"
9,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[11]"
10,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[12]"
11,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[13]"
12,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[14]"
13,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[15]"
14,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[16]"
15,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[17]"
16,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[18]"
17,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[19]"
18,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[1]"
19,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[20]"
20,2.558,10.000,5.974,5.919,0.055,1,magnitude,"u_impl/gen_regular_mag_fanout.u_mag/i_square0/CLK","u_impl/gen_regular_mag_fanout.u_mag/i_square_reg/PCIN[21]"
